stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.024119500070810318,,0.010138600133359432,0.024119500070810318,0.5958957001566887,0.5958957001566887,0.6067792000249028,0.9076955001801252,4.393272100016475,left,-10.0,0,0,3.7022005999460816,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
1,2,12.0,4.405586599837989,,4.393398699816316,4.405586599837989,4.90755520015955,4.90755520015955,4.90755520015955,5.2079146998003125,6.213005399797112,left,-12.0,0,0,1.298307000193745,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
2,1,14.0,6.223887899890542,,6.213100399821997,6.223887899890542,6.724143099971116,6.724143099971116,6.724143099971116,7.024029400199652,7.361330999992788,right,14.0,1,1,0.6237717000767589,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
3,1,13.0,7.373548800125718,,7.361427499912679,7.373548800125718,7.873943000100553,7.873943000100553,7.873943000100553,8.173491300083697,8.345987800043076,left,-13.0,0,0,0.4641333003528416,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
4,1,14.0,8.3567399000749,,8.346085799857974,8.3567399000749,8.857115500140935,8.857115500140935,8.857115500140935,9.157167700119317,9.663505400065333,right,14.0,0,0,0.7955670999363065,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
5,1,15.0,9.673882800154388,,9.66362199978903,9.673882800154388,10.173686999827623,10.173686999827623,10.173686999827623,10.473967699799687,10.929061300121248,right,15.0,1,1,0.7452424000948668,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
6,1,15.0,10.940326999872923,,10.92920449981466,10.940326999872923,11.439988700207323,11.439988700207323,11.439988700207323,11.740553900133818,12.146677399985492,right,15.0,0,0,0.7049920996651053,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
7,1,16.0,12.156597199849784,,12.146777300164104,12.156597199849784,12.65751380007714,12.65751380007714,12.65751380007714,13.022705900017172,14.195995400194079,left,-16.0,0,0,1.531218800228089,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
8,1,17.0,14.206673900131136,,14.196115199942142,14.206673900131136,14.70695610018447,14.70695610018447,14.70695610018447,15.007309200242162,15.478926999960095,left,-17.0,1,1,0.7603225000202656,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
9,1,17.0,15.490196600090712,,15.47903410019353,15.490196600090712,15.990126099903136,15.990126099903136,15.990126099903136,16.290433099959046,16.730496500153095,right,17.0,1,1,0.7348529999144375,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
10,1,17.0,16.739996099844575,,16.730599199887365,16.739996099844575,17.24017190001905,17.24017190001905,17.24017190001905,17.539691499900073,18.197786800097674,right,17.0,0,0,0.9561814996413887,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
11,1,18.0,18.206288599874824,,18.197885199915618,18.206288599874824,18.70713960006833,18.70713960006833,18.70713960006833,19.006900699809194,21.81246990012005,left,-18.0,0,0,3.08976750029251,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
12,1,19.0,21.823085399810225,,21.812574100214988,21.823085399810225,22.323249800130725,22.323249800130725,22.323249800130725,22.623483300209045,23.296442199964076,left,-19.0,1,1,0.9647340998053551,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
