stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0786996,0.0533155,0.0786996,0.5420486,0.5420486,0.5953532,0.841526,28.7047441,left,-10,0,0,28.0525106,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
1,2,12,28.7212437,28.7048787,28.7212437,29.2073214,29.2073214,29.2247386,29.5067622,1771.636227,left,-12,0,0,1742.416829,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
2,1,14,1771.65115,1771.636471,1771.65115,1772.151589,1772.151589,1772.151589,1772.467167,1773.435671,right,14,1,1,1.2716641,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
3,1,13,1773.450527,1773.435791,1773.450527,1773.950732,1773.950732,1773.950732,1774.250559,1774.718619,right,13,1,1,0.7513247,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
4,1,13,1774.733378,1774.718799,1774.733378,1775.23367,1775.23367,1775.23367,1775.533808,1776.286076,right,13,1,1,1.0434977,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
5,1,13,1776.300715,1776.286201,1776.300715,1776.800412,1776.800412,1776.800412,1777.09973,1802.400568,left,-13,0,0,25.5942147,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
6,1,14,1802.416238,1802.400669,1802.416238,1802.899342,1802.899342,1802.915311,1803.199633,1803.517882,right,14,1,1,0.6149545,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
7,1,14,1803.53293,1803.518015,1803.53293,1804.032979,1804.032979,1804.032979,1804.333018,1804.368004,right,14,1,1,0.32446,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
8,0.5,14,1804.383115,1804.368147,1804.383115,1804.88356,1804.88356,1804.88356,1805.182853,1805.416393,right,14,1,1,0.5281269,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
9,0.5,13.5,1805.432581,1805.41651,1805.432581,1805.931344,1805.931344,1805.948481,1806.231971,1806.267698,left,-13.5,0,0,0.3329493,1,1,2024-09-06_11h01.35.874,adaptive_staircase,2024.1.5,None,2024-09-06 11h01.42.317113 +0530
