stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0927918,,0.0610196,0.0927918,0.5243097,0.5243097,0.5954914,0.8311917,1.5551442,right,10,1,1,1.0155548,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
1,1,8,1.572606,,1.5553235,1.572606,2.0593777,2.0593777,2.0773426,2.3625027,2.7447171,right,8,0,0,0.673425,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
2,1,9,2.7594336,,2.7448429,2.7594336,3.2475707,3.2475707,3.2634476,3.5690453,3.8017401,right,9,1,1,0.5410077,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
3,1,9,3.8238088,,3.8018725,3.8238088,4.3117833,4.3117833,4.3283288,4.6115444,4.7298747,left,-9,1,1,0.4077102,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
4,1,9,4.7445274,,4.7300031,4.7445274,5.2439719,5.2439719,5.2616249,5.545549,5.5794646,right,9,1,1,0.3210425,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
5,1,8,5.594323,,5.5796543,5.594323,6.0935427,6.0935427,6.0935427,6.3936203,6.4115779,left,-8,1,1,0.3010058,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
6,1,8,6.4270192,,6.4116881,6.4270192,6.9266818,6.9266818,6.9266818,7.2262797,7.2111445,right,8,1,1,0.2705532,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
7,0.5,8,7.2262797,,7.2112339,7.2262797,7.7266683,7.7266683,7.7266683,8.0257863,8.0941131,right,8,0,0,0.3533575,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
8,0.5,8.5,8.1096514,,8.0942328,8.1096514,8.6099051,8.6099051,8.6099051,8.9122165,9.3445106,right,8.5,1,1,0.7208825,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
9,0.5,8.5,9.3600208,,9.3446072,9.3600208,9.8440636,9.8440636,9.8611189,10.1443897,10.5298503,left,-8.5,1,1,0.673765,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
10,0.5,8.5,10.5440631,,10.529992,10.5440631,11.0443787,11.0443787,11.0443787,11.3423402,11.4987989,right,8.5,1,1,0.4487716,2,1,2024-09-06_11h39.54.804,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.59.454448 +0530
